time,setpoint,output1,output2
0.113,40.0,40.00970743201078,39.99846289173122
0.114,40.0,40.009598397823616,39.99862720348274
0.115,40.0,40.009391735151794,39.99877987883735
0.116,40.0,40.0091033738009,39.998921059293224
0.117,40.0,40.00874799965865,39.99905100326341
0.11800000000000001,40.0,40.00833905429331,39.999170062592135
0.11900000000000001,40.0,40.00788874921894,39.99927866199923
0.12,40.0,40.00740809263162,39.999377281197134
0.121,40.0,40.00690692657764,39.99946643943647
0.122,40.0,40.00639397267444,39.99954668224871
0.123,40.0,40.00587688466448,39.99961857016765
0.124,40.0,40.0053623062399,39.999682669224676
0.125,40.0,40.00485593272985,39.999739543027054
0.126,40.0,40.004362575391966,39.99978974624161
0.127,40.0,40.00388622719285,39.99983381932008
0.128,40.0,40.00343012909917,39.99987228431541
0.129,40.0,40.00299683603034,39.999905641651026
0.13,40.0,40.00258828174511,39.99993436771739
0.131,40.0,40.002205842047644,39.999958913181736
0.132,40.0,40.001850395803295,39.999979701907954
0.133,40.0,40.001522383350526,39.99999713039393
0.134,40.0,40.00122186198324,40.00001156764346
0.135,40.0,40.00094855825717,40.00002335539884
0.136,40.0,40.00070191694549,40.00003280866856
0.137,40.0,40.000481146532074,40.000040216492444
0.138,40.0,40.00028526118726,40.00004584289359
0.139,40.0,40.00011311921957,40.000049927972896
0.14,40.0,39.999963458039424,40.000052689107946
0.14100000000000001,40.0,39.99983492570657,40.00005432222345
0.14200000000000002,40.0,39.999726109163376,40.00005500310505
0.14300000000000002,40.0,39.99963555928084,40.00005491457568
0.14400000000000002,40.0,39.999561812864044,40.000054217839455
0.145,40.0,39.999503411779166,40.00005297735243
0.146,40.0,39.99945891937561,40.000051248039064
0.147,40.0,39.999426934384495,40.00004915458722
0.148,40.0,39.999406102479355,40.00004681217872
0.149,40.0,39.99939512568666,40.00004429769941
0.15,40.0,39.99939276983305,40.00004167388974
0.151,40.0,39.99939787021334,40.000038992538514
0.152,40.0,39.9994093356589,40.000036296805
0.153,40.0,39.999426151179755,40.000033622415245
0.154,40.0,39.999447379346755,40.000030998595534
0.155,40.0,39.99947216057188,40.00002844886415
0.156,40.0,39.999499712435615,40.00002599174033
0.157,40.0,39.99952932820131,40.00002364138654
0.158,40.0,39.99956037464627,40.00002140819138
0.159,40.0,39.99959228932958,40.00001929929726
0.16,40.0,39.999624577406664,40.00001731907626
0.161,40.0,39.999656808090755,40.00001546955742
0.162,40.0,39.99968861085144,40.000013750808655
0.163,40.0,39.99971967143155,40.000012161276494
0.164,40.0,39.9997497277541,40.00001069808674
0.165,40.0,39.99977856578267,40.0000093573092
0.166,40.0,39.99980601539019,40.00000813418947
0.167,40.0,39.99983194628353,40.000007023350555
0.168,40.0,39.99985626402396,40.00000601896719
0.169,40.0,39.99987890617711,40.00000511491537
0.17,40.0,39.9998998386195,40.00000427102737
0.171,40.0,39.99991905202356,40.00000341694048
0.17200000000000001,40.0,39.9999365585376,40.00000252366354
0.17300000000000001,40.0,39.999952388672845,40.00000159994916
0.17400000000000002,40.0,39.99996658840535,40.00000065481193
0.17500000000000002,40.0,39.999979216497174,39.99999969753359
0.176,40.0,39.99999034203792,39.99999873757196
0.177,40.0,40.00000004220503,39.99999778446783
0.178,40.0,40.000008400238926,39.99999684775048
0.179,40.0,40.00001550362696,39.99999593684274
0.18,40.0,40.00002144248872,39.99999506096653
0.181,40.0,40.00002630815371,39.99999422904991
0.182,40.0,40.000030191921574,39.99999344963639
0.183,40.0,40.00003318399416,39.99999273079762
0.184,40.0,40.00003537256816,39.99999208005023
0.185,40.0,40.000036843076785,39.999991504277666
0.186,40.0,40.00003767756876,39.99999100965795
0.187,40.0,40.0000379806493,39.99999060159793
0.188,40.0,40.000037861365314,39.9999902846749
0.189,40.0,40.000037364562914,39.99999006258608
0.19,40.0,40.00003649282773,39.99998993810656
0.191,40.0,40.00003525260817,39.999989913056204
0.192,40.0,40.000033692658135,39.99998998827587
0.193,40.0,40.00003191404478,39.99999016361318
0.194,40.0,40.000029999138796,39.99999043791816
0.195,40.0,40.000027994494694,39.99999080904872
0.196,40.0,40.000025937831964,39.999991273886096
0.197,40.0,40.0000238609008,39.999991828360095
0.198,40.0,40.000021791006404,39.99999246748394
0.199,40.0,40.000019751509775,39.99999318539849
0.2,40.0,40.00001776216294,39.99999397542533
